metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
CPD-11592				RXN0-5063		RXN0-5063
URIDINE		URIDINEKIN-RXN;URKI-RXN;URPHOS-RXN	URIDINEKIN-RXN;URKI-RXN	RXN-14025	CYTIDEAM2-RXN	RXN-14115;CYTIDEAM2-RXN;RXN-14025
HSCN	RXN-18232	RXN-18232	RXN-18232	RXN0-6359;THIOSULFATE-SULFURTRANSFERASE-RXN	RXN0-6359;THIOSULFATE-SULFURTRANSFERASE-RXN	RXN0-6359;THIOSULFATE-SULFURTRANSFERASE-RXN
TYR-tRNAs	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	RXN-19727	RXN-19727	RXN-19727
DTDP-D-GLUCOSE	DTDPGLUCDEHYDRAT-RXN	DTDPGLUCDEHYDRAT-RXN	DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN	DTDPGLUCOSEPP-RXN	DTDPGLUCOSEPP-RXN
UBIQUINONE-6	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN				
Protein-N-terminal-L-threonine	RXN-17864	RXN-17864		RXN-17877	RXN-17877	RXN-17877
Sophorosyloxy-Fatty-Acids				RXN-13890		
CPD-24552	RXN-22497	RXN-22497	RXN-22497			
BryP-ACP	RXN-20482	RXN-20482	RXN-20482			
CPDQT-37	RXNQT-4168	RXNQT-4168	RXNQT-4168			
2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE	RXN-19671	RXN-19671				
D-aspartyl-tRNA-Asp	RXN-19728	RXN-19728	RXN-19728			
DNA-containing-abasic-Sites	4.2.99.18-RXN	4.2.99.18-RXN	4.2.99.18-RXN	RXN0-2661;3.2.2.21-RXN;RXN0-5189;RXN0-2584	RXN0-2661;3.2.2.21-RXN;RXN0-5189;RXN0-2584	RXN0-2661;3.2.2.21-RXN;RXN0-5189;RXN0-2584
Alkyl-Thiols				S-ALKYLCYSTEINE-LYASE-RXN	S-ALKYLCYSTEINE-LYASE-RXN	S-ALKYLCYSTEINE-LYASE-RXN
CPD-8989				RXN0-7187	RXN0-7187	RXN0-7187
R-Phenyllactoyl-CoA-Dehydratases				RXN-19892		
23S-rRNA-adenine-2503	RXN-11586	RXN-11586	RXN-11586			
6-Dimethylallyladenosine37-tRNAs	RXN0-5063		RXN0-5063	RXN0-6274	RXN0-6274	RXN0-6274
L-methionyl-L-valyl-Protein	RXN-17878	RXN-17878	RXN-17878			
FUM	RXN-9772;RXN-22643;RXN-22606;RXN-14963;R601-RXN	RXN-22643;RXN-9929;RXN-22606;RXN-14963;R601-RXN	RXN-22643;RXN-9929;RXN-22606	ARGSUCCINLYA-RXN;RXN-22497;RXN1YI0-14;SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN;AICARSYN-RXN;RXN-15378;RXN-21393;RXN-14971;RXN-22;ASPARTASE-RXN;SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN;AMPSYN-RXN	ARGSUCCINLYA-RXN;RXN-22497;RXN1YI0-14;SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN;AICARSYN-RXN;RXN-15378;RXN-21393;RXN-14971;RXN-22;SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN;AMPSYN-RXN	ARGSUCCINLYA-RXN;RXN-22497;AICARSYN-RXN;RXN-22;AMPSYN-RXN
Phosphoserines	PSERPHOSPHA-RXN	PSERPHOSPHA-RXN	PSERPHOSPHA-RXN			
GlcNAc-1-6-anhydro-MurNAc-pentapeptide				RXN0-5190	RXN0-5190	RXN0-5190
Peptides-holder				3.4.14.5-RXN;RXN-21299;3.4.24.11-RXN;3.4.21.89-RXN;3.4.21.107-RXN;3.4.21.53-RXN;3.4.21.92-RXN	RXN-21299;3.4.24.11-RXN;3.4.21.89-RXN;RXN0-5052;3.4.21.107-RXN;3.4.21.53-RXN;3.4.21.92-RXN;3.4.21.96-RXN;3.4.24.38-RXN	RXN-21299;3.4.24.11-RXN;3.4.21.89-RXN;3.4.21.107-RXN;3.4.21.92-RXN;RXN0-5052
Truncated-Limit-Dextrins				RXN-9023	RXN-9023	RXN-9023
THIAMINE	THIAMINASE-RXN	THIAMINASE-RXN;THIAMIN-PYROPHOSPHOKINASE-RXN	THIAMIN-PYROPHOSPHOKINASE-RXN			
3-P-HYDROXYPYRUVATE				PSERTRANSAM-RXN;PGLYCDEHYDROG-RXN	PSERTRANSAM-RXN;PGLYCDEHYDROG-RXN	PSERTRANSAM-RXN
CPD-15716	3.2.1.26-RXN	3.2.1.26-RXN	3.2.1.26-RXN			
CPD-12259				RXN-11291		
Menaquinols	R601-RXN	RXN-20993;R601-RXN		RXN0-6554		
Glycogens	GLYCOPHOSPHORYL-RXN	GLYCOPHOSPHORYL-RXN	GLYCOPHOSPHORYL-RXN	GLYCOGEN-BRANCH-RXN;RXN-7669	GLYCOGEN-BRANCH-RXN;RXN-7669	
CPD-15094	RXN-14089					
CPD-16459	RXN-22388	RXN-22388	RXN-22388			
DIGLUCODIACETYL-DOCOSANOATE	DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN					
CPD-21111				RXN-19554	RXN-19554	RXN-19554
L-1-PHOSPHATIDYL-GLYCEROL	RXN0-20	RXN0-7012;RXN0-5223;RXN0-20;RXN-8141;CARDIOLIPSYN-RXN	RXN0-5223;RXN0-7012;LYSYLTRANSFERASE-RXN;RXN0-20;RXN-8141;CARDIOLIPSYN-RXN		6.1.1.13-RXN	6.1.1.13-RXN
Ribonucleoside-Triphosphates	RXN0-5021;RIBONUCLEOSIDE-TRIP-REDUCT-RXN;1.17.4.2-RXN	RXN0-5021;RIBONUCLEOSIDE-TRIP-REDUCT-RXN;1.17.4.2-RXN	RXN0-5021;RIBONUCLEOSIDE-TRIP-REDUCT-RXN;1.17.4.2-RXN			
BIOTIN	BIOTINLIG-RXN	BIOTINLIG-RXN	BIOTINLIG-RXN		2.8.1.6-RXN	
5-phosphooligonucleotides				3.1.21.2-RXN		
CPD-846	RXN-22286;RXN-22287	RXN-22286;RXN-22287	RXN-22286;RXN-22287			
4-PHOSPHONOOXY-THREONINE	PSERTRANSAMPYR-RXN	PSERTRANSAMPYR-RXN	PSERTRANSAMPYR-RXN			
CPD-15616	RXN-14811	RXN-14811		L-IDITOL-2-DEHYDROGENASE-RXN	L-IDITOL-2-DEHYDROGENASE-RXN	
CPD-21120	RXN-19554	RXN-19554	RXN-19554			
Alpha-6-alpha-14-glucans				RXN-14371	RXN-14371	
Long-Chain-Polyphosphate	EXOPOLYPHOSPHATASE-RXN;2.7.1.63-RXN;POLYPHOSPHATE-KINASE-RXN			EXOPOLYPHOSPHATASE-RXN;2.7.1.63-RXN;POLYPHOSPHATE-KINASE-RXN		
DTDP-DEOH-DEOXY-GLUCOSE	DTDPDEHYDRHAMEPIM-RXN	DTDPDEHYDRHAMEPIM-RXN	DTDPDEHYDRHAMEPIM-RXN	DTDPGLUCDEHYDRAT-RXN	DTDPGLUCDEHYDRAT-RXN	DTDPGLUCDEHYDRAT-RXN
CPD0-1108	RXN0-5305	RXN0-5305	RXN0-5305	RXN-14904;RXN0-5304	RXN-14904;RXN0-5304	RXN-14904
Malonyl-PedN-ACP				RXN-20498	RXN-20498	RXN-20498
D-6-P-GLUCONO-DELTA-LACTONE	6PGLUCONOLACT-RXN	6PGLUCONOLACT-RXN		GLU6PDEHYDROG-RXN	GLU6PDEHYDROG-RXN	
N-ACETYL-D-GLUCOSAMINE-6-P	NAG6PDEACET-RXN	NAG6PDEACET-RXN		N-ACETYLGLUCOSAMINE-KINASE-RXN;NANE-RXN	RXN0-4641;NANE-RXN;RXN0-7002	RXN0-7002
CPD-1091	UREIDOGLYCOLATE-LYASE-RXN					
PYRUVATE	ACETOOHBUTSYN-RXN;ACETOLACTSYN-RXN;DIHYDRODIPICSYN-RXN;RXN0-1134;DXS-RXN	PYRUFLAVREDUCT-RXN;ACETOOHBUTSYN-RXN;ACETOLACTSYN-RXN;1.5.1.24-RXN;DIHYDRODIPICSYN-RXN;SERINE--PYRUVATE-AMINOTRANSFERASE-RXN;RXN0-1134;1.2.3.3-RXN;PYFLAVOXRE-RXN;DXS-RXN	ACETOOHBUTSYN-RXN;ACETOLACTSYN-RXN;DIHYDRODIPICSYN-RXN	RXN-19558;RXN-14192;RXN-14207;RXN-19547;CYSTATHIONINE-BETA-LYASE-RXN;L-LACTATE-DEHYDROGENASE-RXN;RXN-13698;RXN-19560;S-ALKYLCYSTEINE-LYASE-RXN;4.3.1.17-RXN;RXN-11063;PEPDEPHOS-RXN;RXN-19556;ALANINE-AMINOTRANSFERASE-RXN;RXN-19583;RXN-15127;RXN-19562;RXN-6763;PYRUVFORMLY-RXN;RXN-19554;ANTHRANSYN-RXN;RXN-12729;2.7.3.9-RXN;RXN-19544;RXN-8899;RXN-18212;RXN-14117;RXN-19550;RXN-19552	RXN-19558;RXN-14192;RXN-9310;RXN-14207;RXN-19547;ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN;CYSTATHIONINE-BETA-LYASE-RXN;L-LACTATE-DEHYDROGENASE-RXN;RXN-13698;RXN-19560;S-ALKYLCYSTEINE-LYASE-RXN;KDPGALDOL-RXN;4.3.1.17-RXN;DLACTDEHYDROGNAD-RXN;RXN-11063;PEPDEPHOS-RXN;RXN-19556;ALANINE-AMINOTRANSFERASE-RXN;RXN-19583;RXN-15127;RXN-19562;RXN-6763;2.7.1.121-RXN;PYRUVFORMLY-RXN;RXN-19554;ANTHRANSYN-RXN;RXN-12729;2.7.3.9-RXN;RXN-19544;RXN-8899;RXN-18212;RXN-14117;RXN-19550;RXN-19552	RXN-19558;RXN-14192;RXN-14207;RXN-19547;CYSTATHIONINE-BETA-LYASE-RXN;L-LACTATE-DEHYDROGENASE-RXN;RXN-13698;RXN-19560;S-ALKYLCYSTEINE-LYASE-RXN;4.3.1.17-RXN;PEPDEPHOS-RXN;RXN-19556;ALANINE-AMINOTRANSFERASE-RXN;RXN-19583;RXN-15127;RXN-19562;RXN-6763;PYRUVFORMLY-RXN;RXN-19554;ANTHRANSYN-RXN;RXN-12729;2.7.3.9-RXN;ALANINE-DEHYDROGENASE-RXN;RXN-19544;RXN-8899;RXN-18212;RXN-14117;RXN-19550;RXN-19552
CARBAMATE	RXN0-5222	RXN0-5222	RXN0-5222			
Leader-Sequences				3.4.21.89-RXN	3.4.21.89-RXN	3.4.21.89-RXN
Protein-Ser-or-Thr-phosphate	3.1.3.16-RXN	3.1.3.16-RXN	3.1.3.16-RXN	PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN
Alkylated-DNAs	3.2.2.21-RXN	3.2.2.21-RXN	3.2.2.21-RXN			
D-LACTATE	RXN-22604	RXN-22604;DLACTDEHYDROGNAD-RXN	RXN-22604		RXN0-4641	
Sulfurylated-ThiI		RXN-18388	RXN-18388	RXN-9787	RXN-9787	RXN-9787
THREO-DS-ISO-CITRATE	ISOCITDEH-RXN	ISOCITDEH-RXN	ISOCITDEH-RXN	RXN-14047	RXN-14047	RXN-14047
CDP-1-Acyl-2-Arachidonoyl-Glycerols				RXN-20524	RXN-20524	RXN-20524
CPD-7671	RXN-18602	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN;RXN-18602	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN;RXN-18602	METHIONINE-GAMMA-LYASE-RXN	METHIONINE-GAMMA-LYASE-RXN	RXN-12539
Beta-D-Fructofuranosides	RXN-9985	RXN-9985	RXN-9985			
Formate-acetyltrans-glycine-radical				TDCEACT-RXN	TDCEACT-RXN	TDCEACT-RXN
Reduced-NrdH-Proteins	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;RXN0-748;RXN0-722;RXN0-747	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;RXN0-748;RXN0-722;RXN0-747	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;RXN0-748;RXN0-722;RXN0-747			
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	AIRS-RXN	AIRS-RXN	AIRS-RXN	FGAMSYN-RXN	FGAMSYN-RXN	FGAMSYN-RXN
3-Hydroxy-Terminated-DNAs	3.1.11.2-RXN;DNA-LIGASE-NAD+-RXN	3.1.11.2-RXN;DNA-LIGASE-NAD+-RXN	3.1.11.2-RXN;DNA-LIGASE-NAD+-RXN	3.1.11.2-RXN	3.1.11.2-RXN	3.1.11.2-RXN
D-Glucose	RXN-15083	RXN-15083	RXN-15083			
Deoxy-Ribonucleoside-Monophosphates				3.1.11.2-RXN;RXN0-4961	3.1.11.2-RXN;RXN0-4961	3.1.11.2-RXN;RXN0-4961
17-BETA-HYDROXYANDROSTAN-3-ONE				1.1.1.53-RXN		
tRNA-Arg-adenosine34	RXN0-1081	RXN0-1081	RXN0-1081			
CPD-12304				RXN-11346	RXN-11346	RXN-11346
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	SAICARSYN-RXN	SAICARSYN-RXN	SAICARSYN-RXN	RXN0-743	RXN0-743	RXN0-743
tRNA-pseudouridine-38-40				TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
CPD-10247	RXN-15296					
Hypoxanthine-In-tRNAs-34s				RXN-13997	RXN-13997	RXN-13997
Reduced-ferredoxins	ISPH2-RXN;1.18.1.2-RXN;RXN0-884	1.18.1.2-RXN;RXN-18388	1.18.1.2-RXN;RXN-18388		PYRUFLAVREDUCT-RXN	
Charged-PRO-tRNAs				PROLINE--TRNA-LIGASE-RXN	PROLINE--TRNA-LIGASE-RXN	PROLINE--TRNA-LIGASE-RXN
holo-Peptidyl-carrier-proteins				RXN-19477	RXN-19477	RXN-19477
MOCS3-Cysteine	RXN-22698	RXN-22698	RXN-22698			
Thi-S				THIAZOLSYN2-RXN		
PROPIONYL-P				PROPKIN-RXN	PROPKIN-RXN	PROPKIN-RXN
Ribonucleoside-Monophosphates	5-NUCLEOTID-RXN		5-NUCLEOTID-RXN	RXN0-6483;3.1.11.6-RXN	3.1.11.6-RXN;RXN0-4222	3.1.11.6-RXN;RXN0-4222
16S-rRNA-guanine-527	RXN-11578	RXN-11578	RXN-11578			
Cleaved-type-1-transmembrane-domains				3.4.21.105-RXN	3.4.21.105-RXN	3.4.21.105-RXN
CPD-12116		RXN-9220		RXN-9217	RXN-9217	
N-ACETYL-D-GLUCOSAMINE-1-P				RXN-18662		
GUANOSINE		RXN0-5199	RXN0-5199	RXN-7609		RXN-14124;RXN-7609
CPD-12279	RXN-13329;THIAZOLSYN2-RXN	RXN-13329				
Lactosyl-Ceramides				3.2.1.47-RXN		
CPD-358	RXN-8641					
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	RXN-13158;RXN-13163	RXN-13158;RXN-13163	RXN-13158;RXN-13163			
CPD-15590	RXN-14409	RXN-14409	RXN-14409			
16S-rRNA-N4-methylcytidine1402				RXN-11638	RXN-11638	RXN-11638
CPD-21126	RXN-19560	RXN-19560	RXN-19560			
OH-PYR			RXN0-300	GLYCERATE-DEHYDROGENASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	GLYCERATE-DEHYDROGENASE-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN
INOSINE		INOPHOSPHOR-RXN	INOPHOSPHOR-RXN	RXN-7607	ADENODEAMIN-RXN	RXN-7607;ADENODEAMIN-RXN
Apo-EntB	ENTDB-RXN	ENTDB-RXN	ENTDB-RXN			
Lysidine-tRNA-Ile2				RXN-1961	RXN-1961	RXN-1961
CPD-13578	RXN-12613	RXN-12613				
CDP-2-3-4-Saturated-Diacylglycerols				RXN0-5515	RXN0-5515	RXN0-5515
UTP	URITRANS-RXN;CTPSYN-RXN;RXN-21265;RXN0-724	GLUC1PURIDYLTRANS-RXN;CTPSYN-RXN;RXN-21265;RXN0-724	GLUC1PURIDYLTRANS-RXN;CTPSYN-RXN;RXN-21265;RXN0-724	RXN-14118		UDPKIN-RXN
Rhodoquinones				RXN-14963	RXN-14963	
Maltodextrins	RXN-12193	RXN-12193	RXN-12193	RXN-12193;CYCLOMALTODEXTRINASE-RXN	RXN-12193	RXN-12193
CPD-9190				RXN-8852		
CPD-1099	RXN-11502			RXN-11501		
LL-DIAMINOPIMELATE	RXN-7737;DIAMINOPIMEPIM-RXN		RXN-7737	SUCCDIAMINOPIMDESUCC-RXN	N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN	N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN
tRNA-pseudouridine55				RXN-11839	RXN-11839	RXN-11839
L-Methionine-sulfoxides				RXN0-6721	RXN0-6721	RXN0-6721
CPD-26	R12-RXN					
CPD-14375				3.2.1.96-RXN		
Charged-LEU-tRNAs				LEUCINE--TRNA-LIGASE-RXN	LEUCINE--TRNA-LIGASE-RXN	LEUCINE--TRNA-LIGASE-RXN
PYRAZINOIC-ACID				PYRAZIN-RXN	PYRAZIN-RXN	
L-1-GLYCERO-PHOSPHORYLCHOLINE				RXN-16225;LYSOPHOSPHOLIPASE-RXN		
Type-1-transmemberane-domains	3.4.21.105-RXN	3.4.21.105-RXN	3.4.21.105-RXN			
L-GLUTAMATE-5-P	RXN-19022;GLUTSEMIALDEHYDROG-RXN	RXN-19022;GLUTSEMIALDEHYDROG-RXN	RXN-19022;GLUTSEMIALDEHYDROG-RXN	GLUTKIN-RXN	GLUTKIN-RXN	GLUTKIN-RXN
CPD-12502	RXN-11543					
2-DEOXY-D-GLUCOSE	TRANS-RXN0-540	TRANS-RXN0-540	TRANS-RXN0-540			
ADENOSINE		ADENPHOSPHOR-RXN;ADENODEAMIN-RXN	ADENPHOSPHOR-RXN;ADENODEAMIN-RXN	AMP-DEPHOSPHORYLATION-RXN		RXN-14126;ADENOSYLHOMOCYSTEINASE-RXN;AMP-DEPHOSPHORYLATION-RXN
Short-Alpha-14-Glucans				RXN-1828	RXN-1828	RXN-1828
5-Methylcytosine-DNA				DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN		DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
GDP	GDPPYPHOSKIN-RXN;GDPREDUCT-RXN;RXN0-748;RXN-14117	GDPPYPHOSKIN-RXN;GDPREDUCT-RXN;RXN0-748;RXN-14117	GDPKIN-RXN;RXN0-748;RXN-14117;GDPREDUCT-RXN;GDPPYPHOSKIN-RXN	RXN0-5462;ADENYLOSUCCINATE-SYNTHASE-RXN;GUANYL-KIN-RXN	URKI-RXN;CYTIDINEKIN-RXN;RXN-18684;ADENYLOSUCCINATE-SYNTHASE-RXN;TRANS-RXN-424;GUANYL-KIN-RXN	RXN0-5462;2.4.1.54-RXN;URKI-RXN;CYTIDINEKIN-RXN;RXN-18684;ADENYLOSUCCINATE-SYNTHASE-RXN;TRANS-RXN-424;GUANYL-KIN-RXN
CPD-18804	RXN-17392	RXN-17392	RXN-17392			
CPD-1111				2.7.7.40-RXN	2.7.7.40-RXN	
P3I	TRIPHOSPHATASE-RXN	TRIPHOSPHATASE-RXN	TRIPHOSPHATASE-RXN			RXN0-5507
CPD-9612	RXN-15378	RXN-15378				
CPD-10330	RXN-14904	RXN-14904	RXN-14904			
N-ACETYL-D-MANNOSAMINE-6P	NANE-RXN	NANE-RXN				
Loaded-MCD-Chaperones	RXN-21560	RXN-21560	RXN-21560			
P-HYDROXY-PHENYLPYRUVATE				TYROSINE-AMINOTRANSFERASE-RXN;PREPHENATEDEHYDROG-RXN	TYROSINE-AMINOTRANSFERASE-RXN;PREPHENATEDEHYDROG-RXN	TYROSINE-AMINOTRANSFERASE-RXN;PREPHENATEDEHYDROG-RXN
Red-Thioredoxin	RXN-8668;RXN0-267;1.17.4.2-RXN;RXN-21262;UDPREDUCT-RXN;CDPREDUCT-RXN;RXN-22617;RXN-21265;RXN-21263;GDPREDUCT-RXN;RIBONUCLEOSIDE-DIP-REDUCTI-RXN;1.11.1.15-RXN;RXN-21264;ADPREDUCT-RXN;RXN-22620	RXN0-6385;RXN-8668;RXN0-267;1.17.4.2-RXN;RXN-21262;UDPREDUCT-RXN;CDPREDUCT-RXN;1.8.4.12-RXN;RXN-22617;RXN-21265;RXN-21263;GDPREDUCT-RXN;1.8.4.14-RXN;RIBONUCLEOSIDE-DIP-REDUCTI-RXN;1.11.1.15-RXN;RXN-21264;ADPREDUCT-RXN;RXN-22620	RXN0-6385;RXN-8668;1.17.4.2-RXN;RXN-21262;CDPREDUCT-RXN;RXN-21265;RXN-21263;GDPREDUCT-RXN;1.8.4.14-RXN;RIBONUCLEOSIDE-DIP-REDUCTI-RXN;1.11.1.15-RXN;RXN-21264;ADPREDUCT-RXN;UDPREDUCT-RXN	THIOREDOXIN-REDUCT-NADPH-RXN	THIOREDOXIN-REDUCT-NADPH-RXN	THIOREDOXIN-REDUCT-NADPH-RXN
CPD-22843				RXN-21219	RXN-21219	RXN-21219
Protein-L-lysine	RXN-16707					
N-terminal-L-Serine	RXN-17863	RXN-17863		RXN-17876	RXN-17876	RXN-17876
DNA-with-Uracils	RXN0-2584	RXN0-2584	RXN0-2584			
DIHYDROPTERIN-CH2OH-PP	H2PTEROATESYNTH-RXN	H2PTEROATESYNTH-RXN	H2PTEROATESYNTH-RXN			H2PTERIDINEPYROPHOSPHOKIN-RXN
ADENYLOSUCC	AMPSYN-RXN	AMPSYN-RXN	AMPSYN-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN
Orthophosphoric-Monoesters	ACID-PHOSPHATASE-RXN					
Charged-TYR-tRNAs				TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN
CPD-7100	RXN-7800	RXN-7800	RXN-7800			
ADP-D-GLUCOSE	RXN-18305	GLYCOGENSYN-RXN		GLUC1PADENYLTRANS-RXN	GLUC1PADENYLTRANS-RXN	
D-HEXOSE-6-PHOSPHATE				HEXOKINASE-RXN	HEXOKINASE-RXN	HEXOKINASE-RXN
GLT	PRPPAMIDOTRANS-RXN;GLUTRACE-RXN;GLUTAMATE-N-ACETYLTRANSFERASE-RXN;GLURS-RXN;GLUTKIN-RXN;GLUTDEHYD-RXN;RXN-6341;FORMYLTHFGLUSYNTH-RXN;RXN0-5422;N-ACETYLTRANSFER-RXN;GLUTCYSLIG-RXN;RXN-20406;RXN-20400;GLUTAMINESYN-RXN;RXN0-2921;RXN2DNV-43;FOLYLPOLYGLUTAMATESYNTH-RXN;DIHYDROFOLATESYNTH-RXN	PRPPAMIDOTRANS-RXN;GLUTRACE-RXN;GLUTAMATE-N-ACETYLTRANSFERASE-RXN;GLURS-RXN;GLUTKIN-RXN;RXN-6341;FORMYLTHFGLUSYNTH-RXN;N-ACETYLTRANSFER-RXN;GLUTAMINESYN-RXN;RXN0-2921;FOLYLPOLYGLUTAMATESYNTH-RXN;DIHYDROFOLATESYNTH-RXN;GLUTDECARBOX-RXN	PRPPAMIDOTRANS-RXN;GLUTRACE-RXN;GLUTAMATE-N-ACETYLTRANSFERASE-RXN;GLUTKIN-RXN;GLUTDEHYD-RXN;RXN-6341;FORMYLTHFGLUSYNTH-RXN;RXN-12798;N-ACETYLTRANSFER-RXN;RXN0-2921;FOLYLPOLYGLUTAMATESYNTH-RXN;DIHYDROFOLATESYNTH-RXN;GLUTDECARBOX-RXN	RXN-13697;BRANCHED-CHAINAMINOTRANSFERILEU-RXN;ACETYLORNTRANSAM-RXN;GLUTAMIDOTRANS-RXN;GLUTAMATESYN-RXN;R345-RXN;RXN-13698;HISTAMINOTRANS-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;TYROSINE-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERVAL-RXN;RXN-14429;2-AMINOADIPATE-AMINOTRANSFERASE-RXN;ALANINE-AMINOTRANSFERASE-RXN;CTPSYN-RXN;6.3.5.6-RXN;L-GLN-FRUCT-6-P-AMINOTRANS-RXN;RXN-10814;CARBPSYN-RXN;PSERTRANSAM-RXN;RXN-11737;ANTHRANSYN-RXN;RXN-11322;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;FGAMSYN-RXN;6.3.5.7-RXN;ASPAMINOTRANS-RXN;GMP-SYN-GLUT-RXN;PSERTRANSAMPYR-RXN;RXN-7737;NAD-SYNTH-GLN-RXN	RXN-13697;BRANCHED-CHAINAMINOTRANSFERILEU-RXN;ACETYLORNTRANSAM-RXN;GLUTAMIDOTRANS-RXN;GLUTAMATESYN-RXN;R345-RXN;RXN-13698;HISTAMINOTRANS-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;TYROSINE-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERVAL-RXN;PABASYN-RXN;ALANINE-AMINOTRANSFERASE-RXN;CTPSYN-RXN;RXN-16194;6.3.5.6-RXN;L-GLN-FRUCT-6-P-AMINOTRANS-RXN;RXN-10814;CARBPSYN-RXN;PSERTRANSAM-RXN;RXN-11737;ASNSYNB-RXN;ANTHRANSYN-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;FGAMSYN-RXN;6.3.5.7-RXN;RXN-16201;ASPAMINOTRANS-RXN;GMP-SYN-GLUT-RXN;PSERTRANSAMPYR-RXN;3.4.11.7-RXN;RXN-16190;NAD-SYNTH-GLN-RXN	RXN-13697;BRANCHED-CHAINAMINOTRANSFERILEU-RXN;ACETYLORNTRANSAM-RXN;GLUTAMIDOTRANS-RXN;R345-RXN;RXN-13698;HISTAMINOTRANS-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;TYROSINE-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERVAL-RXN;PABASYN-RXN;ALANINE-AMINOTRANSFERASE-RXN;CTPSYN-RXN;3.4.11.7-RXN;RXN-16194;6.3.5.6-RXN;L-GLN-FRUCT-6-P-AMINOTRANS-RXN;RXN-10814;CARBPSYN-RXN;PSERTRANSAM-RXN;RXN-11737;ANTHRANSYN-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;FGAMSYN-RXN;6.3.5.7-RXN;RXN-16201;ASPAMINOTRANS-RXN;GMP-SYN-GLUT-RXN;PSERTRANSAMPYR-RXN;GLUTAMIN-RXN;RXN-7737;RXN-16190;NAD-SYNTH-GLN-RXN
16S-rRNA-guanine-966	RXN0-6515	RXN0-6515	RXN0-6515			
S2O3	ABC-7-RXN;THIOSULFATE-SULFURTRANSFERASE-RXN	RXN0-6385;THIOSULFATE-SULFURTRANSFERASE-RXN	RXN0-6385;ABC-7-RXN;THIOSULFATE-SULFURTRANSFERASE-RXN	RXN-19040;ABC-7-RXN	RXN-19040	RXN-19040;ABC-7-RXN
Oxidized-flavodoxins		PYFLAVOXRE-RXN		RXN-15878		
CPD0-2461				RXN-15139	RXN-15139	RXN-15139
GLUCONATE	GLUCONOKIN-RXN			RXN-17754;GLUCONOLACT-RXN	GLUCONOLACT-RXN	GLUCONOLACT-RXN
Glucose-6-phosphate				RXN-15083	RXN-15083	RXN-15083
RNASE-III-MRNA-PROCESSING-SUBSTRATE	3.1.26.3-RXN	3.1.26.3-RXN	3.1.26.3-RXN			
