metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
CPD1G-277	RXN1G-4355					
Protein-With-N-Terminal-X-Pro	3.4.11.1-RXN;3.4.11.9-RXN					
ADENOSYL-P4		3.6.1.41-RXN		ATP-ADENYLYLTRANSFERASE-RXN		
CPD0-2283	RXN-16938	RXN-16938	RXN-16938			
B-KETOACYL-ACP	3-OXOACYL-ACP-REDUCT-RXN	3-OXOACYL-ACP-REDUCT-RXN	3-OXOACYL-ACP-REDUCT-RXN	3-OXOACYL-ACP-SYNTH-RXN	3-OXOACYL-ACP-SYNTH-RXN	3-OXOACYL-ACP-SYNTH-RXN
Reduced-Quinones				RXN0-7386	RXN0-7386	
N-acetyl-D-galactosamine	2.7.1.157-RXN					
PANTETHEINE-P	PANTEPADENYLYLTRAN-RXN	PANTEPADENYLYLTRAN-RXN	PANTEPADENYLYLTRAN-RXN			
D-Glucopyranuronate	RXN-14693	RXN-14693		BETA-GLUCURONID-RXN		
1-Acyl-2-Arachidonoyl-Glycerol-P	RXN-20524	RXN-20524	RXN-20524			
ILE-tRNAs	ISOLEUCINE--TRNA-LIGASE-RXN	ISOLEUCINE--TRNA-LIGASE-RXN				
HCO3	RXN0-742;RXN-18032;PEPCARBOX-RXN;RXN0-5224;RXN-14569;RXN1G-4355;CARBPSYN-RXN;PROPIONYL-COA-CARBOXY-RXN	RXN0-742;CARBAMATE-KINASE-RXN;RXN-18032;BIOTIN-CARBOXYL-RXN;RXN-14569;CARBPSYN-RXN;ACETYL-COA-CARBOXYLTRANSFER-RXN	RXN0-742;RXN-18032;PEPCARBOX-RXN;BIOTIN-CARBOXYL-RXN;RXN0-5224;RXN-14569;CARBPSYN-RXN;ACETYL-COA-CARBOXYLTRANSFER-RXN	RXN-18031	RXN-18031	RXN-18031
